date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:40	63946/63946	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:39%20GMT	http://petro.themegum.com/elementor/elements/timeline/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/timeline/index.html	(from http://petro.themegum.com/elementor/)
17:52:40	2138/2138	---M--	200	added ('OK')	image/png	etag:%2285a-5a4be6fdd1e80%22	http://petro.themegum.com/wp-content/uploads/2017/06/logo-light.png	D:/petro.themegum.com/petro.themegum.com/wp-content/uploads/2017/06/logo-light.png	(from http://petro.themegum.com/elementor/)
17:52:41	66964/66964	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:40%20GMT	http://petro.themegum.com/elementor/elements/unordered-list/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/unordered-list/index.html	(from http://petro.themegum.com/elementor/)
17:52:41	2559/2559	---MCZ	200	added ('OK')	text/css	etag:W/%229ff-5a68844ab5c85%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/elementor/css/post-3951.css?ver=1590479081	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/elementor/css/post-3951a0cf.css	(from http://petro.themegum.com/elementor/)
17:52:42	116150/116150	---M--	200	added ('OK')	image/jpeg	etag:%221c5b6-5a4c06ad2695a%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/project-detail-5.jpeg	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/project-detail-5.jpg	(from http://petro.themegum.com/elementor/)
17:52:45	96193/96193	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:43%20GMT	http://petro.themegum.com/elementor/elements/icon-boxes/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/icon-boxes/index.html	(from http://petro.themegum.com/elementor/)
17:52:45	21492/21492	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:45%20GMT	http://petro.themegum.com/elementor/404-1/404-2/	D:/petro.themegum.com/petro.themegum.com/elementor/404-1/404-2/index.html	(from http://petro.themegum.com/elementor/)
17:52:45	20510/20510	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:45%20GMT	http://petro.themegum.com/elementor/404-1/	D:/petro.themegum.com/petro.themegum.com/elementor/404-1/index.html	(from http://petro.themegum.com/elementor/)
17:52:45	14627/14627	---MCZ	200	added ('OK')	application/javascript	etag:W/%223923-5a6883ef53ef3%22	http://petro.themegum.com/elementor/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.9	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/contact-form-7/includes/js/scripts38c6.js	(from http://petro.themegum.com/elementor/)
17:52:46	132280/132280	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:44%20GMT	http://petro.themegum.com/elementor/elements/glyph-icon/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/glyph-icon/index.html	(from http://petro.themegum.com/elementor/)
